"Ich weiß jetzt, warum du weinst.",I know now why you cry.
Ich gehe jetzt schwimmen.,I go swimming now.
Spiegel lügen nicht!,Mirrors don't lie!
Kannst du diesen Sack Kartoffeln tragen?,Can you carry this sack of potatoes?
Jeder Topf findet seinen Deckel.,Every pot will find its lid.
Sie wurde so geboren.,She was born this way.
Die Vögel singen nicht mehr.,The birds do not sing anymore.
Lächle mehr!,Smile more!
Wo ist der Fahrplan?,Where is the timetable?
Morgens bin ich immer müde.,I'm always tired in the morning.
Wo kann ich Orangen kaufen?,Where can I buy oranges?
Iss mehr Gemüse!,Eat more vegetables!
Was hast du heute gelernt?,What did you learn today?
"Tür zu, es zieht!","Close the door, there is a draught!"
Ihr war alles gleich.,She didn't care about anything.
Stella hatte vor nichts Angst.,Stella wasn't afraid of anything.
Eine Hand wäscht die andere.,One hand washes the other.
"""Danke für deine Hilfe!"" - ""Bitte sehr!""","""Thank you for your help!"" - ""You are welcome!"""
Die Zukunft ist jetzt.,The future is now.
Meine Nase läuft.,I have a runny nose.
Ich mag ein gutes Gespräch.,I like a good conversation.
Hat das Auto eine Heizung?,Does this car have a heater?
Er ist traurig.,He is sad.
Wo sind wir?,Where are we?
Es ist zu spät.,It's too late.
Wer möchte eine Wurst essen?,Who wants to eat a sausage?
Regnet es draußen?,Is it raining outside?
Was machst du am Samstag?,What are you doing on Saturday?
Sie ist noch jung.,She is still young.
Die Sonne ist sehr heiß.,The sun is very hot.
Es ist kalt draußen.,It's cold outside.
Er wollte immer ein berühmter DJ sein.,He always wanted to be a famous DJ.
Echte Männer weinen nicht.,Real men don't cry.
"Ich werde versuchen, es zu erklären.",I will try to explain.
Kann ich neben dir sitzen?,Can I sit next to you?
Bist du Joe?,Are you Joe?
Niemand vergisst seine erste Liebe.,No one ever forgets their first love.
Wir sehen uns wieder.,We'll meet again.
Ich habe meine Meinung geändert.,I've changed my mind.
Wie hast du geschlafen?,How did you sleep?
Ich habe gelacht.,I laughed.
Sie isst kein Fleisch mehr.,She doesn't eat meat anymore.
Ich esse kein Fleisch.,I don't eat meat.
Ich liebe die Natur!,I love nature!
Was machst du hier?,What are you doing here?
Sie hat einen großen Kleiderschrank.,She has a big wardrobe.
Hast du eine Schaufel?,Do you have a shovel?
Ich arbeite in einer Buchhandlung.,I'm working in a bookshop.
War nur Spaß!,Just kidding!
Der Schuh drückt mich hier.,The shoe pinches me here.
Mir ist schlecht.,I feel nauseous.
Gehe nicht!,Don't go!
Schau nicht so traurig!,Don't look so sad!
Sie war ein guter Mensch.,She was a good person.
Liebst du mich nicht?,Don't you love me?
Das wird schon!,It'll be okay!
Große Mädchen weinen nicht.,Big girls don't cry.
Es gibt keine dummen Fragen.,There are no stupid questions.
Das ist nicht mein Problem!,That's not my problem!
Sie hat ja gesagt.,She said yes.
Bist du auf Facebook?,Are you on Facebook?
"Niemand weiß, warum.",Nobody knows why.
Lily war hier.,Lily was here.
Kann ich zuschauen?,May I watch?
Wo ist der Mülleimer?,Where is the dustbin?
Ich möchte gerne eine Bratwurst.,I would like a fried sausage.
Muss das denn sein?,Is that really necessary?
Was soll das denn heißen?,What is that supposed to mean?
Er ist wieder da.,He's back.
Ich bin der Martin.,I'm Martin.
Lebe lang und glücklich!,Live long and prosper!
Da ist er!,There he is!
Heidi lebt in den Bergen.,Heidi lives in the mountains.
Von Mode verstehe ich nichts.,I don't know anything about fashion.
Hör nicht auf sie!,Don't listen to them (or her)!
Das Essen ist fertig!,Dinner is ready!
Er hat im Lotto gewonnen.,He won the lottery.
Eure Zeit ist um.,Your time is up.
Eine neue Liebe ist wie ein neues Leben.,A new love is like a new life.
Das dachte ich mir schon.,I already anticipated that. / I thought so.
Bist du wach?,Are you awake?
Er ist sehr freundlich.,He is very friendly.
Ohne dich kann ich nicht sein.,Without you I cannot be.
Du bist meine große Liebe!,You are the love of my life!
Sollen wir uns treffen?,Should we meet up?
Hat sie einen Freund?,Does she have a boyfriend?
Wo sind die Unterhemden?,Where are the vests/undershirts?
Er hat seinen Führerschein verloren.,He lost his driving licence.
Er lud mich ein.,He invited me.
Wo bist du gewesen?,Where have you been?
"""Morgen werde ich 18!"" - ""Alles Gute!""","""Tomorrow I'll turn 18!"" - ""All the best!"""
"""Frohes neues Jahr!"" - ""Wünsch ich dir auch!""","""Happy New Year!"" - ""Same to you!"""
Wie heißt diese Pflanze?,What is the name of this plant?
Geniesse deine Jugend!,Enjoy your youth!
"""Wo ist er?"" - ""Oben.""","""Where is he?"" - ""Upstairs."""
Diese Tomaten kommen aus Italien.,These tomatoes are from Italy.
Ich finde sie nicht hässlich.,I don't think she is ugly.
Wo ist der Fön?,Where is the hair dryer?
Die Batterie ist fast leer.,The battery is almost dead.
Warum grüßt du mich nicht?,Why don't you greet me?
Wie funktioniert das?,How does that work?
Das Geld ist im Briefumschlag.,The money is in the envelope.
Ich brauche keine Tüte.,I don't need a bag.
Wer bin ich?,Who am I?
Diese Maschine ist sehr laut.,This machine is very noisy.
Das ist nicht mein Stil.,That's not my style.
Iss nicht so viele Süßigkeiten!,Don't eat so many sweets!
Er isst oft Nudeln.,He often eats noodles.
"Seine letzten Worte waren ""Bis gleich!"".","His last words were ""See you soon!"""
Dieser Stoff ist sehr weich.,This material is very soft.
Ist da jemand?,Anybody there?
Ich mag keine Montage.,I don't like Mondays.
Ich war noch niemals in New York!,I've never been to New York!
